code,date,close,recent_breakout_count_120d,trailing_return_pct,trade_outcome,days_to_outcome,outcome_return_pct
42080,2025-11-04,2242.0,0.0,1.7941242431038351,timeout_win,20.0,10.08028545941124
19760,2025-11-04,1581.0,0.0,3.377110694183865,timeout_win,20.0,3.542061986084757
51860,2025-11-04,4065.0,0.0,1.3784461152882206,timeout_loss,20.0,-0.984009840098401
42160,2025-11-04,4650.0,0.0,7.606263982102908,timeout_loss,20.0,-3.225806451612903
51850,2025-11-04,1868.0,0.0,1.3774104683195594,timeout_loss,20.0,-1.177730192719486
42280,2025-11-04,350.0,0.0,2.608695652173913,timeout_win,20.0,4.857142857142857
42290,2025-11-04,3430.0,0.0,1.36986301369863,timeout_win,20.0,2.478134110787172
19820,2025-11-04,4420.0,0.0,6.1988304093567255,timeout_win,20.0,2.262443438914027
25400,2025-11-04,4195.0,0.0,5.189873417721519,timeout_win,20.0,2.9797377830750893
66440,2025-11-04,1280.0,0.0,2.70935960591133,stop_loss,1.0,-7.999999999999989
96190,2025-11-04,2066.0,0.0,2.5445292620865136,timeout_loss,20.0,-0.8228460793804453
42030,2025-11-04,5078.0,0.0,4.110143753796315,timeout_win,20.0,0.4332414336352895
52080,2025-11-04,1615.0,0.0,3.1685678073510775,timeout_win,20.0,2.848297213622291
53010,2025-11-04,1032.5,0.0,1.1252446183953033,timeout_loss,20.0,-3.3995157384987915
41090,2025-11-04,4130.0,0.0,1.6109045848822798,timeout_loss,20.0,-1.2106537530266344
52880,2025-11-04,1230.0,0.0,2.789518174133559,take_profit,6.0,15.0
19500,2025-11-04,2884.0,0.0,7.580283793876028,timeout_win,20.0,8.52981969486824
19510,2025-11-04,2256.0,0.0,5.781584582441114,timeout_win,20.0,5.961879432624113
19520,2025-11-04,3090.0,0.0,7.192494788047254,stop_loss,10.0,-7.999999999999995
76830,2025-11-04,1331.0,0.0,1.9171779141104295,timeout_win,20.0,3.9819684447783623
67180,2025-11-04,2750.0,0.0,1.6588532275513885,timeout_win,20.0,3.090909090909091
41180,2025-11-04,4267.0,0.0,2.0613614573346117,timeout_loss,20.0,-0.796812749003984
52320,2025-11-04,3838.0,0.0,2.49933528316937,timeout_loss,20.0,-3.5695674830640955
52140,2025-11-04,5352.0,0.0,7.504651643580732,take_profit,19.0,14.999999999999986
88010,2025-11-04,1592.0,0.0,3.6569579288025893,take_profit,15.0,14.999999999999996
76130,2025-11-04,1377.0,0.0,4.528301886792453,stop_loss,4.0,-7.999999999999989
41890,2025-11-04,2765.0,0.0,2.52694165737644,stop_loss,1.0,-7.999999999999993
88040,2025-11-04,2883.0,0.0,1.3561113067981685,take_profit,9.0,14.999999999999995
88180,2025-11-04,1765.0,0.0,7.240099009900989,timeout_win,20.0,6.515580736543909
41820,2025-11-04,2859.5,0.0,4.709547370350009,stop_loss,5.0,-7.999999999999992
51210,2025-11-04,1951.0,0.0,3.310197544046983,stop_loss,5.0,-7.9999999999999964
25030,2025-11-04,2172.5,0.0,2.3404255319148937,timeout_win,20.0,10.172612197928652
51100,2025-11-04,1836.0,0.0,2.492917847025496,take_profit,7.0,14.99999999999998
95340,2025-11-04,703.0,0.0,1.6491754122938531,timeout_win,20.0,3.982930298719772
67440,2025-11-04,3880.0,0.0,6.153846153846154,stop_loss,6.0,-7.99999999999999
74830,2025-11-04,2893.0,0.0,6.268328445747801,timeout_win,20.0,7.155202212236434
74820,2025-11-04,1292.0,0.0,2.299762093576527,timeout_win,20.0,1.238390092879257
95330,2025-11-04,4512.0,0.0,4.026238407600091,timeout_win,20.0,2.7039007092198584
95310,2025-11-04,5620.0,0.0,5.693602034826844,take_profit,15.0,14.999999999999982
49730,2025-11-04,3135.0,0.0,2.7694361027694363,timeout_win,20.0,7.017543859649122
44520,2025-11-04,6531.0,0.0,2.8391167192429023,timeout_loss,20.0,-4.731281580156178
74760,2025-11-04,2448.5,0.0,3.30188679245283,timeout_loss,20.0,-0.5309373085562589
95130,2025-11-04,2815.5,0.0,7.3639860780362705,timeout_win,20.0,8.115787604333157
44810,2025-11-04,3445.0,0.0,2.635431918008785,stop_loss,9.0,-7.999999999999997
45070,2025-11-04,2581.0,0.0,3.614457831325301,timeout_win,20.0,1.8984889577683068
